slide,index,left_orig,top_orig,width_orig,height_orig,text_orig,left_mod,top_mod,width_mod,height_mod,text_mod,delta_left,delta_top,delta_width,delta_height
1,1,0,0,12188952,6858000,,0,0,12188952,6858000,,0,0,0,0
1,2,7132320,0,5056632,6858000,,3566160,0,5056632,6858000,,-3566160,0,0,0
1,3,6995160,0,228600,6858000,,5980176,0,228600,6858000,,-1014984,0,0,0
1,4,0,6355080,12188952,502920,,0,6355080,12188952,502920,,0,0,0,0
1,5,0,6309360,12188952,73152,,0,6309360,12188952,73152,,0,0,0,0
1,6,7452360,91440,4572000,6263640,,3808476,91440,4572000,6263640,,-3643884,0,0,0
1,7,502920,1097280,6583680,1051560,Naresh & Co,2802636,1097280,6583680,1051560,Naresh & Co,2299716,0,0,0
1,8,502920,2212848,6583680,548640,Telecommunication Infrastructure Solutions,2802636,2212848,6583680,548640,Telecommunication Infrastructure Solutions,2299716,0,0,0
1,9,502920,2834640,6400800,868680,End-to-End Wireless & Wireline Network Solutions2G/3G/4G/5G  |  Tower Construction up to 55 MetersISO 9001:2015 Certified  |  Pan India & International,2894076,2834640,6400800,868680,End-to-End Wireless & Wireline Network Solutions2G/3G/4G/5G  |  Tower Construction up to 55 MetersISO 9001:2015 Certified  |  Pan India & International,2391156,0,0,0
1,10,502920,3931920,2331720,1005840,,4928616,3931920,2331720,1005840,,4425696,0,0,0
1,11,502920,4005072,2331720,553212,20+,4928616,4005072,2331720,553212,20+,4425696,0,0,0
1,12,502920,4535424,2331720,352044,Years Experience,4928616,4535424,2331720,352044,Years Experience,4425696,0,0,0
1,13,2971800,3931920,2331720,1005840,,4928616,3931920,2331720,1005840,,1956816,0,0,0
1,14,2971800,4005072,2331720,553212,4+,4928616,4005072,2331720,553212,4+,1956816,0,0,0
1,15,2971800,4535424,2331720,352044,Major Clients,4928616,4535424,2331720,352044,Major Clients,1956816,0,0,0
1,16,5440680,3931920,2331720,1005840,,4928616,3931920,2331720,1005840,,-512064,0,0,0
1,17,5440680,4005072,2331720,553212,55m,4928616,4005072,2331720,553212,55m,-512064,0,0,0
1,18,5440680,4535424,2331720,352044,Tower Height,4928616,4535424,2331720,352044,Tower Height,-512064,0,0,0
1,19,7909560,3931920,2331720,1005840,,4928616,3931920,2331720,1005840,,-2980944,0,0,0
1,20,7909560,4005072,2331720,553212,Global,4928616,4005072,2331720,553212,Global,-2980944,0,0,0
1,21,7909560,4535424,2331720,352044,Reach,4928616,4535424,2331720,352044,Reach,-2980944,0,0,0
1,22,502920,6428232,4572000,365760,Company Profile  ·  Confidential,3808476,6428232,4572000,365760,Company Profile  ·  Confidential,3305556,0,0,0
2,1,0,0,12188952,6858000,,0,0,12188952,6858000,,0,0,0,0
2,2,0,0,12188952,594360,,0,0,12188952,594360,,0,0,0,0
2,3,0,594360,12188952,50292,,0,594360,12188952,50292,,0,0,0,0
2,4,365760,109728,3657600,411480,Naresh & Co,4265676,109728,3657600,411480,Naresh & Co,3899916,0,0,0
2,5,4023360,128016,7132320,365760,Telecommunication Infrastructure Solutions,2528316,128016,7132320,365760,Telecommunication Infrastructure Solutions,-1495044,0,0,0
2,6,0,6446520,12188952,411480,,0,6446520,12188952,411480,,0,0,0,0
2,7,0,6437376,12188952,45720,,0,6437376,12188952,45720,,0,0,0,0
2,8,274320,6501384,10058400,320040,"718/3, T.H Road, Thiruvottiyur, Chennai 600019  |  +91 98840 56221  |  nareshandco@yahoo.com",1065276,6501384,10058400,320040,"718/3, T.H Road, Thiruvottiyur, Chennai 600019  |  +91 98840 56221  |  nareshandco@yahoo.com",790956,0,0,0
2,9,11503152,6501384,502920,320040,Page 2,5843016,6501384,502920,320040,Page 2,-5660136,0,0,0
2,10,365760,685800,73152,594360,,6057900,685800,73152,594360,,5692140,0,0,0
2,11,530352,685800,8229600,594360,About Naresh & Co,1979676,685800,8229600,594360,About Naresh & Co,1449324,0,0,0
2,12,365760,1463040,7315200,411480,Who We Are,2436876,1463040,7315200,411480,Who We Are,2071116,0,0,0
2,13,365760,1901952,7132320,777240,"Naresh & Co is a leading provider of end-to-end engineering solutions for the telecommunication sector, specializing in construction, installation and commissioning of wireless and wireline telecom equipment and networks across India and internationally.",2528316,1901952,7132320,777240,"Naresh & Co is a leading provider of end-to-end engineering solutions for the telecommunication sector, specializing in construction, installation and commissioning of wireless and wireline telecom equipment and networks across India and internationally.",2162556,0,0,0
2,14,365760,2724912,7132320,640080,"Our portfolio spans IBS Poles, Micro Towers (up to 16 m), Macro Towers (up to 55 m — GPT and RTT), and full deployment of 2G, 3G, 4G, 5G, MW, and Microwave hops.",2528316,2724912,7132320,640080,"Our portfolio spans IBS Poles, Micro Towers (up to 16 m), Macro Towers (up to 55 m — GPT and RTT), and full deployment of 2G, 3G, 4G, 5G, MW, and Microwave hops.",2162556,0,0,0
2,15,365760,3493008,7315200,384048,Our Commitment,2436876,3493008,7315200,384048,Our Commitment,2071116,0,0,0
2,16,365760,3931920,7132320,685800,"We invest in tools and training on the latest technologies, enabling our expert team to execute projects with maximum efficiency and deliver customized solutions for even the most demanding telecom challenges.",2528316,3931920,7132320,685800,"We invest in tools and training on the latest technologies, enabling our expert team to execute projects with maximum efficiency and deliver customized solutions for even the most demanding telecom challenges.",2162556,0,0,0
2,17,8229600,713232,3657600,1234440,,4265676,713232,3657600,1234440,,-3963924,0,0,0
2,18,8229600,822960,3657600,594360,ISO 9001:2015,4265676,822960,3657600,594360,ISO 9001:2015,-3963924,0,0,0
2,19,8229600,1389888,3657600,347472,CERTIFIED,4265676,1389888,3657600,347472,CERTIFIED,-3963924,0,0,0
2,20,8229600,1719072,3657600,256032,Quality Management Standards,4265676,1719072,3657600,256032,Quality Management Standards,-3963924,0,0,0
2,21,8229600,2084831,3657600,1280160,,4265676,2084831,3657600,1280160,,-3963924,0,0,0
2,22,8229600,2084831,3657600,50292,,4265676,2084831,3657600,50292,,-3963924,0,0,0
2,23,8321040,2176271,3474720,320040,International Operations,4357116,2176271,3474720,320040,International Operations,-3963924,0,0,0
2,24,8321040,2496311,3474720,777240,Successfully completed major telecom projects in Thailand and overseas — world-class global delivery.,4357116,2496311,3474720,777240,Successfully completed major telecom projects in Thailand and overseas — world-class global delivery.,-3963924,0,0,0
2,25,8229600,3456432,3657600,1051560,,4265676,3456432,3657600,1051560,,-3963924,0,0,0
2,26,8229600,3456432,3657600,50292,,4265676,3456432,3657600,50292,,-3963924,0,0,0
2,27,8321040,3547872,3474720,320040,Manufacturing Excellence,4357116,3547872,3474720,320040,Manufacturing Excellence,-3963924,0,0,0
2,28,8321040,3867912,3474720,548640,In-house EB cement poles manufacturing ensures quality control and timely delivery.,4357116,3867912,3474720,548640,In-house EB cement poles manufacturing ensures quality control and timely delivery.,-3963924,0,0,0
2,29,8229600,4599432,3657600,914400,,4265676,4599432,3657600,914400,,-3963924,0,0,0
2,30,8229600,4599432,3657600,50292,,4265676,4599432,3657600,50292,,-3963924,0,0,0
2,31,8321040,4690872,3474720,320040,Pan India Operations,4357116,4690872,3474720,320040,Pan India Operations,-3963924,0,0,0
2,32,8321040,5010912,3474720,411480,Executing Bharti Airtel projects across multiple states and cities throughout India.,4357116,5010912,3474720,411480,Executing Bharti Airtel projects across multiple states and cities throughout India.,-3963924,0,0,0
2,33,365760,4754880,7132320,1188720,,2528316,4754880,7132320,1188720,,2162556,0,0,0
3,1,0,0,12188952,6858000,,0,0,12188952,6858000,,0,0,0,0
3,2,0,0,12188952,594360,,0,0,12188952,594360,,0,0,0,0
3,3,0,594360,12188952,50292,,0,594360,12188952,50292,,0,0,0,0
3,4,365760,109728,3657600,411480,Naresh & Co,4265676,109728,3657600,411480,Naresh & Co,3899916,0,0,0
3,5,4023360,128016,7132320,365760,Telecommunication Infrastructure Solutions,2528316,128016,7132320,365760,Telecommunication Infrastructure Solutions,-1495044,0,0,0
3,6,0,6446520,12188952,411480,,0,6446520,12188952,411480,,0,0,0,0
3,7,0,6437376,12188952,45720,,0,6437376,12188952,45720,,0,0,0,0
3,8,274320,6501384,10058400,320040,"718/3, T.H Road, Thiruvottiyur, Chennai 600019  |  +91 98840 56221  |  nareshandco@yahoo.com",1065276,6501384,10058400,320040,"718/3, T.H Road, Thiruvottiyur, Chennai 600019  |  +91 98840 56221  |  nareshandco@yahoo.com",790956,0,0,0
3,9,11503152,6501384,502920,320040,Page 3,5843016,6501384,502920,320040,Page 3,-5660136,0,0,0
3,10,365760,685800,73152,594360,,6057900,685800,73152,594360,,5692140,0,0,0
3,11,530352,685800,8229600,594360,Our Services,1979676,685800,8229600,594360,Our Services,1449324,0,0,0
3,12,365760,1417320,10058400,347472,Comprehensive end-to-end solutions for the full telecom infrastructure lifecycle.,1065276,1417320,10058400,347472,Comprehensive end-to-end solutions for the full telecom infrastructure lifecycle.,699516,0,0,0
3,13,365760,1828800,2743200,1325880,,4722876,1828800,2743200,1325880,,4357116,0,0,0
3,14,365760,1828800,2743200,54864,,4722876,1828800,2743200,54864,,4357116,0,0,0
3,15,457200,1920240,2560320,347472,Telecom Infrastructure,4814316,1920240,2560320,347472,Telecom Infrastructure,4357116,0,0,0
3,16,457200,2286000,2560320,795528,"Site survey, foundation works, tower erection, GSM/CDMA BTS I&C, microwave hops alignment.",4814316,2286000,2560320,795528,"Site survey, foundation works, tower erection, GSM/CDMA BTS I&C, microwave hops alignment.",4357116,0,0,0
3,17,3236976,1828800,2743200,1325880,,4722876,1828800,2743200,1325880,,1485900,0,0,0
3,18,3236976,1828800,2743200,54864,,4722876,1828800,2743200,54864,,1485900,0,0,0
3,19,3328416,1920240,2560320,347472,Transmission & Distribution,4814316,1920240,2560320,347472,Transmission & Distribution,1485900,0,0,0
3,20,3328416,2286000,2560320,795528,"Line surveys, route alignment, earthing & erection, conductor stringing, OPGW, commissioning.",4814316,2286000,2560320,795528,"Line surveys, route alignment, earthing & erection, conductor stringing, OPGW, commissioning.",1485900,0,0,0
3,21,6108192,1828800,2743200,1325880,,4722876,1828800,2743200,1325880,,-1385316,0,0,0
3,22,6108192,1828800,2743200,54864,,4722876,1828800,2743200,54864,,-1385316,0,0,0
3,23,6199632,1920240,2560320,347472,Inspection Services,4814316,1920240,2560320,347472,Inspection Services,-1385316,0,0,0
3,24,6199632,2286000,2560320,795528,"Inspection of towers, conductors, OPGW, hardware, earthing materials and site auditing.",4814316,2286000,2560320,795528,"Inspection of towers, conductors, OPGW, hardware, earthing materials and site auditing.",-1385316,0,0,0
3,25,8979408,1828800,2743200,1325880,,4722876,1828800,2743200,1325880,,-4256532,0,0,0
3,26,8979408,1828800,2743200,54864,,4722876,1828800,2743200,54864,,-4256532,0,0,0
3,27,9070848,1920240,2560320,347472,Network Deployment,4814316,1920240,2560320,347472,Network Deployment,-4256532,0,0,0
3,28,9070848,2286000,2560320,795528,"2G/3G/4G/5G, MW, WIFI, IWAN, FTTH, FTTB design, installation, configuration, commissioning.",4814316,2286000,2560320,795528,"2G/3G/4G/5G, MW, WIFI, IWAN, FTTH, FTTB design, installation, configuration, commissioning.",-4256532,0,0,0
3,29,365760,3282696,2743200,1325880,,4722876,3282696,2743200,1325880,,4357116,0,0,0
3,30,365760,3282696,2743200,54864,,4722876,3282696,2743200,54864,,4357116,0,0,0
3,31,457200,3374136,2560320,347472,Wire Line Services,4814316,3374136,2560320,347472,Wire Line Services,4357116,0,0,0
3,32,457200,3739896,2560320,795528,"MSAN, Switches, MUX, Routers I&C. OFC & Copper network, voice/DSL migration, MDF termination.",4814316,3739896,2560320,795528,"MSAN, Switches, MUX, Routers I&C. OFC & Copper network, voice/DSL migration, MDF termination.",4357116,0,0,0
3,33,3236976,3282696,2743200,1325880,,4722876,3282696,2743200,1325880,,1485900,0,0,0
3,34,3236976,3282696,2743200,54864,,4722876,3282696,2743200,54864,,1485900,0,0,0
3,35,3328416,3374136,2560320,347472,Project Management,4814316,3374136,2560320,347472,Project Management,1485900,0,0,0
3,36,3328416,3739896,2560320,795528,"End-to-end PM: design, scheduling, procurement, QA, OHSE compliance, statutory clearances.",4814316,3739896,2560320,795528,"End-to-end PM: design, scheduling, procurement, QA, OHSE compliance, statutory clearances.",1485900,0,0,0
3,37,6108192,3282696,2743200,1325880,,4722876,3282696,2743200,1325880,,-1385316,0,0,0
3,38,6108192,3282696,2743200,54864,,4722876,3282696,2743200,54864,,-1385316,0,0,0
3,39,6199632,3374136,2560320,347472,EB Cement Poles Mfg,4814316,3374136,2560320,347472,EB Cement Poles Mfg,-1385316,0,0,0
3,40,6199632,3739896,2560320,795528,In-house precision-engineered poles with strict quality control to meet all industry standards.,4814316,3739896,2560320,795528,In-house precision-engineered poles with strict quality control to meet all industry standards.,-1385316,0,0,0
3,41,8979408,3282696,2743200,1325880,,4722876,3282696,2743200,1325880,,-4256532,0,0,0
3,42,8979408,3282696,2743200,54864,,4722876,3282696,2743200,54864,,-4256532,0,0,0
3,43,9070848,3374136,2560320,347472,Cable Trays & Clamps,4814316,3374136,2560320,347472,Cable Trays & Clamps,-4256532,0,0,0
3,44,9070848,3739896,2560320,795528,"Supply of GI/SS cable trays, ladder trays, U-bolts, clamps and all associated accessories.",4814316,3739896,2560320,795528,"Supply of GI/SS cable trays, ladder trays, U-bolts, clamps and all associated accessories.",-4256532,0,0,0
4,1,0,0,12188952,6858000,,0,0,12188952,6858000,,0,0,0,0
4,2,0,0,12188952,594360,,0,0,12188952,594360,,0,0,0,0
4,3,0,594360,12188952,50292,,0,594360,12188952,50292,,0,0,0,0
4,4,365760,109728,3657600,411480,Naresh & Co,4265676,109728,3657600,411480,Naresh & Co,3899916,0,0,0
4,5,4023360,128016,7132320,365760,Telecommunication Infrastructure Solutions,2528316,128016,7132320,365760,Telecommunication Infrastructure Solutions,-1495044,0,0,0
4,6,0,6446520,12188952,411480,,0,6446520,12188952,411480,,0,0,0,0
4,7,0,6437376,12188952,45720,,0,6437376,12188952,45720,,0,0,0,0
4,8,274320,6501384,10058400,320040,"718/3, T.H Road, Thiruvottiyur, Chennai 600019  |  +91 98840 56221  |  nareshandco@yahoo.com",1065276,6501384,10058400,320040,"718/3, T.H Road, Thiruvottiyur, Chennai 600019  |  +91 98840 56221  |  nareshandco@yahoo.com",790956,0,0,0
4,9,11503152,6501384,502920,320040,Page 4,5843016,6501384,502920,320040,Page 4,-5660136,0,0,0
4,10,365760,685800,73152,594360,,6057900,685800,73152,594360,,5692140,0,0,0
4,11,530352,685800,8229600,594360,EB Cement Poles & Panel Boards,1979676,685800,8229600,594360,EB Cement Poles & Panel Boards,1449324,0,0,0
4,12,365760,777240,3474720,3108960,,4357116,777240,3474720,3108960,,3991356,0,0,0
4,13,4023360,777240,7772400,411480,EB Cement Poles,2208276,777240,7772400,411480,EB Cement Poles,-1815084,0,0,0
4,14,4023360,1234440,7772400,365760,In-House Manufacturing,2208276,1234440,7772400,365760,In-House Manufacturing,-1815084,0,0,0
4,15,4069080,1722180,91440,91440,,6048756,1722180,91440,91440,,1979676,0,0,0
4,16,4224528,1618488,7571232,370332,Superior compressive strength and durability,2308860,1618488,7571232,370332,Superior compressive strength and durability,-1915668,0,0,0
4,17,4069080,2092512,91440,91440,,6048756,2092512,91440,91440,,1979676,0,0,0
4,18,4224528,1988820,7571232,370332,Precision-engineered taper and cross-section,2308860,1988820,7571232,370332,Precision-engineered taper and cross-section,-1915668,0,0,0
4,19,4069080,2462844,91440,91440,,6048756,2462844,91440,91440,,1979676,0,0,0
4,20,4224528,2359152,7571232,370332,Strict quality control at every production stage,2308860,2359152,7571232,370332,Strict quality control at every production stage,-1915668,0,0,0
4,21,4069080,2833176,91440,91440,,6048756,2833176,91440,91440,,1979676,0,0,0
4,22,4224528,2729484,7571232,370332,Manufactured to IS and telecom industry standards,2308860,2729484,7571232,370332,Manufactured to IS and telecom industry standards,-1915668,0,0,0
4,23,4069080,3203508,91440,91440,,6048756,3203508,91440,91440,,1979676,0,0,0
4,24,4224528,3099816,7571232,370332,Delivered ready-to-install at project sites,2308860,3099816,7571232,370332,Delivered ready-to-install at project sites,-1915668,0,0,0
4,25,4069080,3573840,91440,91440,,6048756,3573840,91440,91440,,1979676,0,0,0
4,26,4224528,3470148,7571232,370332,Cost-effective vs. third-party procurement,2308860,3470148,7571232,370332,Cost-effective vs. third-party procurement,-1915668,0,0,0
4,27,365760,4023360,11457432,36576,,365760,4023360,11457432,36576,,0,0,0,0
4,28,365760,4160520,3108960,2194560,,4539996,4160520,3108960,2194560,,4174236,0,0,0
4,29,3657600,4114800,8138160,411480,EB Panel Boards,2025396,4114800,8138160,411480,EB Panel Boards,-1632204,0,0,0
4,30,3657600,4572000,8138160,365760,Supply & Installation,2025396,4572000,8138160,365760,Supply & Installation,-1632204,0,0,0
4,31,3703320,5034393,91440,91440,,6048756,5034393,91440,91440,,2345436,0,0,0
4,32,3858768,4956048,7936992,279806,Main & sub-distribution boards (MDB/SDB),2125980,4956048,7936992,279806,Main & sub-distribution boards (MDB/SDB),-1732788,0,0,0
4,33,3703320,5314200,91440,91440,,6048756,5314200,91440,91440,,2345436,0,0,0
4,34,3858768,5235854,7936992,279806,"MCB, MCCB, RCCB and isolator assemblies",2125980,5235854,7936992,279806,"MCB, MCCB, RCCB and isolator assemblies",-1732788,0,0,0
4,35,3703320,5594006,91440,91440,,6048756,5594006,91440,91440,,2345436,0,0,0
4,36,3858768,5515660,7936992,279806,Bus bar trunking and cable termination,2125980,5515660,7936992,279806,Bus bar trunking and cable termination,-1732788,0,0,0
4,37,3703320,5873812,91440,91440,,6048756,5873812,91440,91440,,2345436,0,0,0
4,38,3858768,5795467,7936992,279806,Meter panels and energy measurement systems,2125980,5795467,7936992,279806,Meter panels and energy measurement systems,-1732788,0,0,0
4,39,3703320,6153619,91440,91440,,6048756,6153619,91440,91440,,2345436,0,0,0
4,40,3858768,6075273,7936992,279806,Compliant with IS 8623 and IEC 61439 standards,2125980,6075273,7936992,279806,Compliant with IS 8623 and IEC 61439 standards,-1732788,0,0,0
5,1,0,0,12188952,6858000,,0,0,12188952,6858000,,0,0,0,0
5,2,0,0,12188952,594360,,0,0,12188952,594360,,0,0,0,0
5,3,0,594360,12188952,50292,,0,594360,12188952,50292,,0,0,0,0
5,4,365760,109728,3657600,411480,Naresh & Co,4265676,109728,3657600,411480,Naresh & Co,3899916,0,0,0
5,5,4023360,128016,7132320,365760,Telecommunication Infrastructure Solutions,2528316,128016,7132320,365760,Telecommunication Infrastructure Solutions,-1495044,0,0,0
5,6,0,6446520,12188952,411480,,0,6446520,12188952,411480,,0,0,0,0
5,7,0,6437376,12188952,45720,,0,6437376,12188952,45720,,0,0,0,0
5,8,274320,6501384,10058400,320040,"718/3, T.H Road, Thiruvottiyur, Chennai 600019  |  +91 98840 56221  |  nareshandco@yahoo.com",1065276,6501384,10058400,320040,"718/3, T.H Road, Thiruvottiyur, Chennai 600019  |  +91 98840 56221  |  nareshandco@yahoo.com",790956,0,0,0
5,9,11503152,6501384,502920,320040,Page 5,5843016,6501384,502920,320040,Page 5,-5660136,0,0,0
5,10,365760,685800,73152,594360,,6057900,685800,73152,594360,,5692140,0,0,0
5,11,530352,685800,8229600,594360,"Cable Trays, Clamps & Safety Measures",1979676,685800,8229600,594360,"Cable Trays, Clamps & Safety Measures",1449324,0,0,0
5,12,365760,1417320,11457432,36576,,365760,1417320,11457432,36576,,0,0,0,0
5,13,365760,1069848,11457432,347472,Cable Trays & Clamps Supply,365760,1069848,11457432,347472,Cable Trays & Clamps Supply,0,0,0,0
5,14,365760,1627632,3520440,1234440,,4334256,1627632,3520440,1234440,,3968496,0,0,0
5,15,365760,1627632,3520440,50292,,4334256,1627632,3520440,50292,,3968496,0,0,0
5,16,457200,1691640,3337560,347472,Perforated Cable Trays,4425696,1691640,3337560,347472,Perforated Cable Trays,3968496,0,0,0
5,17,457200,2057400,3337560,731520,"GI and SS perforated trays for organized cable routing in towers, shelters and equipment rooms. Widths 100–600mm.",4425696,2057400,3337560,731520,"GI and SS perforated trays for organized cable routing in towers, shelters and equipment rooms. Widths 100–600mm.",3968496,0,0,0
5,18,4160520,1627632,3520440,1234440,,4334256,1627632,3520440,1234440,,173736,0,0,0
5,19,4160520,1627632,3520440,50292,,4334256,1627632,3520440,50292,,173736,0,0,0
5,20,4251960,1691640,3337560,347472,Ladder Cable Trays,4425696,1691640,3337560,347472,Ladder Cable Trays,173736,0,0,0
5,21,4251960,2057400,3337560,731520,Heavy-duty ladder trays for large cable bundles. Hot-dip galvanized for outdoor and harsh environments.,4425696,2057400,3337560,731520,Heavy-duty ladder trays for large cable bundles. Hot-dip galvanized for outdoor and harsh environments.,173736,0,0,0
5,22,7955279,1627632,3520440,1234440,,4334256,1627632,3520440,1234440,,-3621023,0,0,0
5,23,7955279,1627632,3520440,50292,,4334256,1627632,3520440,50292,,-3621023,0,0,0
5,24,8046719,1691640,3337560,347472,Clamps & Accessories,4425696,1691640,3337560,347472,Clamps & Accessories,-3621023,0,0,0
5,25,8046719,2057400,3337560,731520,"U-bolts, J-bolts, hanger clamps, saddle clamps, cable ties — zinc-plated or SS for corrosion resistance.",4425696,2057400,3337560,731520,"U-bolts, J-bolts, hanger clamps, saddle clamps, cable ties — zinc-plated or SS for corrosion resistance.",-3621023,0,0,0
5,26,365760,2971800,2743200,2926080,,4722876,2971800,2743200,2926080,,4357116,0,0,0
5,27,365760,2953512,11457432,36576,,365760,2953512,11457432,36576,,0,0,0,0
5,28,365760,3154680,11457432,36576,,365760,3154680,11457432,36576,,0,0,0,0
5,29,365760,2807208,11457432,347472,Safety Measures & OHSE Compliance,365760,2807208,11457432,347472,Safety Measures & OHSE Compliance,0,0,0,0
5,30,3291840,3355848,2606040,1417320,,4791456,3355848,2606040,1417320,,1499616,0,0,0
5,31,3291840,3355848,2606040,50292,,4791456,3355848,2606040,50292,,1499616,0,0,0
5,32,3383280,3447288,2423160,347472,PPE Requirements,4882896,3447288,2423160,347472,PPE Requirements,1499616,0,0,0
5,33,3383280,3813048,2423160,868680,"Safety helmets, full-body harnesses, safety footwear, high-visibility vests, eye and ear protection — mandatory on all sites.",4882896,3813048,2423160,868680,"Safety helmets, full-body harnesses, safety footwear, high-visibility vests, eye and ear protection — mandatory on all sites.",1499616,0,0,0
5,34,6016752,3355848,2606040,1417320,,4791456,3355848,2606040,1417320,,-1225296,0,0,0
5,35,6016752,3355848,2606040,50292,,4791456,3355848,2606040,50292,,-1225296,0,0,0
5,36,6108192,3447288,2423160,347472,Site Protocols,4882896,3447288,2423160,347472,Site Protocols,-1225296,0,0,0
5,37,6108192,3813048,2423160,868680,"Daily toolbox talk, risk assessment & method statement (RAMS), permit-to-work (PTW), scaffolding and fall-arrest inspection.",4882896,3813048,2423160,868680,"Daily toolbox talk, risk assessment & method statement (RAMS), permit-to-work (PTW), scaffolding and fall-arrest inspection.",-1225296,0,0,0
5,38,8741664,3355848,2606040,1417320,,4791456,3355848,2606040,1417320,,-3950208,0,0,0
5,39,8741664,3355848,2606040,50292,,4791456,3355848,2606040,50292,,-3950208,0,0,0
5,40,8833104,3447288,2423160,347472,Emergency & Environment,4882896,3447288,2423160,347472,Emergency & Environment,-3950208,0,0,0
5,41,8833104,3813048,2423160,868680,"First-aid trained personnel, evacuation plan, fire extinguishers, waste segregation, hazardous material handling protocols.",4882896,3813048,2423160,868680,"First-aid trained personnel, evacuation plan, fire extinguishers, waste segregation, hazardous material handling protocols.",-3950208,0,0,0
5,42,11466576,3355848,2606040,1417320,,4791456,3355848,2606040,1417320,,-6675120,0,0,0
5,43,11466576,3355848,2606040,50292,,4791456,3355848,2606040,50292,,-6675120,0,0,0
5,44,11558016,3447288,2423160,347472,Zero Accident Policy,4882896,3447288,2423160,347472,Zero Accident Policy,-6675120,0,0,0
5,45,11558016,3813048,2423160,868680,"100% PPE compliance, daily safety audits and incident reporting to maintain our zero-accident commitment.",4882896,3813048,2423160,868680,"100% PPE compliance, daily safety audits and incident reporting to maintain our zero-accident commitment.",-6675120,0,0,0
5,46,365760,3355848,2743200,2926080,,4722876,3355848,2743200,2926080,,4357116,0,0,0
5,47,1463040,5029200,1645920,685800,,5271516,5029200,1645920,685800,,3808476,0,0,0
5,48,1508760,5120640,1600200,502920,ISO 9001:2015  |  OHSE Certified,5294376,5120640,1600200,502920,ISO 9001:2015  |  OHSE Certified,3785616,0,0,0
6,1,0,0,12188952,6858000,,0,0,12188952,6858000,,0,0,0,0
6,2,0,0,12188952,594360,,0,0,12188952,594360,,0,0,0,0
6,3,0,594360,12188952,50292,,0,594360,12188952,50292,,0,0,0,0
6,4,365760,109728,3657600,411480,Naresh & Co,4265676,109728,3657600,411480,Naresh & Co,3899916,0,0,0
6,5,4023360,128016,7132320,365760,Telecommunication Infrastructure Solutions,2528316,128016,7132320,365760,Telecommunication Infrastructure Solutions,-1495044,0,0,0
6,6,0,6446520,12188952,411480,,0,6446520,12188952,411480,,0,0,0,0
6,7,0,6437376,12188952,45720,,0,6437376,12188952,45720,,0,0,0,0
6,8,274320,6501384,10058400,320040,"718/3, T.H Road, Thiruvottiyur, Chennai 600019  |  +91 98840 56221  |  nareshandco@yahoo.com",1065276,6501384,10058400,320040,"718/3, T.H Road, Thiruvottiyur, Chennai 600019  |  +91 98840 56221  |  nareshandco@yahoo.com",790956,0,0,0
